epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,2776.61,1.29349,1.73207,0.90677,1.18803,0.78839,0.76035,0.8344,0.51014,0.7755,0.70565,0.77907,0.30628,1.21592,1.57513,0.87822,1.10978,0.0008516,0.0008516,0.0008516
60,2821.99,1.28533,1.74744,0.9018,1.1793,0.79815,0.74882,0.82709,0.50441,0.78274,0.67582,0.76658,0.29529,1.25619,1.58239,0.8733,1.11435,0.0008318,0.0008318,0.0008318
61,2867.5,1.29122,1.74191,0.9046,1.1777,0.75932,0.77159,0.82401,0.50293,0.74416,0.72135,0.76942,0.30102,1.21598,1.55474,0.87434,1.10861,0.000812,0.000812,0.000812
62,2913.56,1.27832,1.71302,0.89056,1.17638,0.79917,0.77551,0.85124,0.52652,0.78729,0.71036,0.79185,0.31214,1.21305,1.55753,0.83692,1.10067,0.0007922,0.0007922,0.0007922
63,2959.63,1.28848,1.71789,0.88778,1.17807,0.78845,0.76845,0.84283,0.51589,0.76681,0.72014,0.78495,0.31945,1.23294,1.56983,0.84421,1.10057,0.0007724,0.0007724,0.0007724
64,3005.59,1.27879,1.72012,0.888,1.17174,0.81298,0.73312,0.8329,0.5176,0.79129,0.70173,0.78232,0.3138,1.21177,1.55726,0.85613,1.10136,0.0007526,0.0007526,0.0007526
65,3050.83,1.26088,1.69605,0.87469,1.17288,0.80694,0.7708,0.84992,0.52058,0.77303,0.72214,0.78063,0.30878,1.2094,1.58189,0.8472,1.08625,0.0007328,0.0007328,0.0007328
66,3096.14,1.25815,1.70538,0.86907,1.16726,0.80614,0.7865,0.85457,0.51524,0.79578,0.70408,0.78043,0.29626,1.21367,1.56785,0.87028,1.0871,0.000713,0.000713,0.000713
67,3141.63,1.25484,1.68095,0.86992,1.15696,0.80253,0.78476,0.8533,0.53779,0.78263,0.72064,0.7939,0.31945,1.16884,1.5287,0.82901,1.07923,0.0006932,0.0006932,0.0006932
68,3187.13,1.25241,1.72214,0.87301,1.15676,0.80806,0.78977,0.85769,0.53092,0.78415,0.73571,0.79481,0.33003,1.16147,1.52357,0.84756,1.06735,0.0006734,0.0006734,0.0006734
69,3232.33,1.24505,1.69154,0.85853,1.15799,0.73605,0.74333,0.80558,0.52589,0.74393,0.68639,0.76074,0.31378,1.12882,1.53144,0.85125,1.06425,0.0006536,0.0006536,0.0006536
70,3277.71,1.24432,1.69521,0.87172,1.15858,0.8111,0.79042,0.85867,0.54182,0.77871,0.74568,0.80684,0.3256,1.15578,1.52448,0.8191,1.07311,0.0006338,0.0006338,0.0006338
71,3322.92,1.25201,1.69614,0.86771,1.15959,0.82939,0.78604,0.85132,0.52634,0.77724,0.72302,0.75941,0.29968,1.18801,1.52437,0.82188,1.07673,0.000614,0.000614,0.000614
72,3368.49,1.24025,1.6898,0.85101,1.15123,0.81735,0.77273,0.86053,0.54887,0.83678,0.70801,0.81367,0.32771,1.13776,1.50516,0.80219,1.06425,0.0005942,0.0005942,0.0005942
73,3417.71,1.23276,1.68914,0.8486,1.1495,0.81931,0.77865,0.86201,0.53879,0.79077,0.72527,0.7999,0.31738,1.14944,1.52589,0.80829,1.06099,0.0005744,0.0005744,0.0005744
74,3472.82,1.23825,1.6907,0.85342,1.13907,0.82994,0.78531,0.8659,0.55259,0.79773,0.73312,0.8058,0.33304,1.10724,1.4983,0.79453,1.04575,0.0005546,0.0005546,0.0005546
75,3524.97,1.20361,1.64274,0.82753,1.14434,0.79311,0.79984,0.85703,0.54206,0.78033,0.73705,0.79322,0.32021,1.14045,1.52066,0.81945,1.04876,0.0005348,0.0005348,0.0005348
76,3569.92,1.21662,1.6764,0.8372,1.13542,0.81009,0.77943,0.86176,0.54775,0.80907,0.70879,0.80032,0.3212,1.11329,1.53877,0.79664,1.0474,0.000515,0.000515,0.000515
77,3614.45,1.20711,1.66392,0.82836,1.13575,0.82563,0.78257,0.86354,0.54679,0.7961,0.74254,0.80395,0.32355,1.14023,1.50258,0.77422,1.04797,0.0004952,0.0004952,0.0004952
78,3664.69,1.19922,1.65624,0.82605,1.13841,0.82973,0.80063,0.87428,0.56873,0.79633,0.73548,0.81241,0.33905,1.08953,1.47438,0.75332,1.03737,0.0004754,0.0004754,0.0004754
79,3719.97,1.19593,1.65556,0.82148,1.1254,0.82309,0.78516,0.87408,0.56435,0.77888,0.73822,0.79955,0.32676,1.08665,1.47875,0.76396,1.03162,0.0004556,0.0004556,0.0004556
80,3771.81,1.17307,1.64491,0.79883,1.12147,0.8247,0.80063,0.87428,0.55902,0.81869,0.73862,0.8165,0.33848,1.10565,1.47621,0.76858,1.03321,0.0004358,0.0004358,0.0004358
81,3818.1,1.18179,1.6325,0.80454,1.12334,0.82541,0.79787,0.87571,0.56899,0.77101,0.74528,0.81018,0.32914,1.08809,1.46999,0.77061,1.03052,0.000416,0.000416,0.000416
82,3864.39,1.19138,1.6566,0.81587,1.12948,0.84087,0.78808,0.87986,0.56485,0.82742,0.74333,0.82556,0.34509,1.09651,1.45862,0.78172,1.03467,0.0003962,0.0003962,0.0003962
83,3910.73,1.17493,1.62284,0.79307,1.11672,0.83027,0.80635,0.8752,0.56739,0.80592,0.74647,0.8093,0.32913,1.07469,1.48592,0.76025,1.02452,0.0003764,0.0003764,0.0003764
84,3965.35,1.17217,1.63948,0.80072,1.11565,0.83039,0.77943,0.87571,0.56914,0.84035,0.71115,0.81414,0.33364,1.08719,1.45156,0.76237,1.03001,0.0003566,0.0003566,0.0003566
85,4013.95,1.16131,1.6315,0.79612,1.11482,0.83788,0.79906,0.88412,0.56978,0.80704,0.74961,0.82395,0.34697,1.06579,1.46088,0.74937,1.01985,0.0003368,0.0003368,0.0003368
86,4062.66,1.15585,1.62022,0.78447,1.11096,0.81769,0.8179,0.88854,0.58477,0.83684,0.73155,0.82735,0.34289,1.06141,1.44685,0.7338,1.01911,0.000317,0.000317,0.000317
87,4107.92,1.14821,1.61089,0.77934,1.10756,0.85327,0.81868,0.8959,0.58268,0.8397,0.75246,0.83533,0.3486,1.06177,1.46108,0.73462,1.02376,0.0002972,0.0002972,0.0002972
88,4153.46,1.15129,1.60232,0.78779,1.105,0.8385,0.81915,0.89161,0.58436,0.79668,0.76609,0.82616,0.34351,1.06328,1.454,0.73764,1.01852,0.0002774,0.0002774,0.0002774
89,4199.14,1.16312,1.61558,0.78884,1.11086,0.83753,0.80925,0.89411,0.58396,0.85509,0.74254,0.83213,0.34561,1.06096,1.4566,0.73325,1.01826,0.0002576,0.0002576,0.0002576
90,4245.06,1.14293,1.61065,0.77359,1.10166,0.845,0.82158,0.89569,0.59193,0.83777,0.74333,0.83555,0.35036,1.04372,1.45201,0.71225,1.01456,0.0002378,0.0002378,0.0002378
91,4335.36,1.09112,1.50874,0.75323,1.05962,0.82617,0.81329,0.88569,0.59259,0.82331,0.75196,0.84394,0.34989,1.0358,1.44932,0.71803,1.00793,0.000218,0.000218,0.000218
92,4380.24,1.0735,1.49764,0.73177,1.05422,0.8666,0.81589,0.89624,0.59685,0.83653,0.76452,0.84047,0.35249,1.03885,1.43723,0.71212,1.00584,0.0001982,0.0001982,0.0001982
93,4425.07,1.06076,1.49637,0.72605,1.05276,0.86094,0.81158,0.89887,0.59952,0.86663,0.72429,0.83766,0.34337,1.04205,1.4188,0.70212,1.00327,0.0001784,0.0001784,0.0001784
94,4469.87,1.04135,1.46679,0.70342,1.04777,0.84954,0.82575,0.90084,0.61185,0.82627,0.76902,0.84594,0.35538,1.0117,1.42435,0.68409,0.99148,0.0001586,0.0001586,0.0001586
95,4514.68,1.04248,1.46795,0.70337,1.04613,0.86075,0.82483,0.90203,0.60739,0.84387,0.76787,0.84989,0.35208,1.01425,1.42588,0.68685,0.99227,0.0001388,0.0001388,0.0001388
96,4559.38,1.04224,1.45846,0.7021,1.03981,0.85072,0.83281,0.90987,0.61439,0.85102,0.74429,0.83961,0.35685,1.00331,1.41984,0.68408,0.98806,0.000119,0.000119,0.000119
97,4604.08,1.02978,1.45755,0.69625,1.03617,0.87193,0.81947,0.90914,0.61425,0.85845,0.7569,0.84979,0.35859,0.99857,1.40928,0.67362,0.98222,9.92e-05,9.92e-05,9.92e-05
98,4648.8,1.0348,1.45445,0.69598,1.04702,0.83116,0.85398,0.90936,0.61211,0.86347,0.73469,0.83838,0.35225,0.9993,1.41505,0.67171,0.97948,7.94e-05,7.94e-05,7.94e-05
99,4693.62,1.02181,1.43581,0.68878,1.03306,0.84659,0.84032,0.90951,0.62031,0.86511,0.74804,0.84752,0.36507,0.97948,1.402,0.67191,0.97474,5.96e-05,5.96e-05,5.96e-05
100,4738.48,1.01829,1.45896,0.69028,1.03582,0.85765,0.8438,0.91212,0.62044,0.83276,0.77778,0.84913,0.36122,0.98721,1.4071,0.66769,0.98069,3.98e-05,3.98e-05,3.98e-05
